,Unnamed: 0,timestamp,node,accx,accy,accz,gyrox,gyroy,gyroz,q0,q1,q2,q3,timestamp.1,node.1,accx.1,accy.1,accz.1,gyrox.1,gyroy.1,gyroz.1,q0.1,q1.1,q2.1,q3.1,timestamp.2,node.2,accx.2,accy.2,accz.2,gyrox.2,gyroy.2,gyroz.2,q0.2,q1.2,q2.2,q3.2,timestamp.3,node.3,accx.3,accy.3,accz.3,gyrox.3,gyroy.3,gyroz.3,q0.3,q1.3,q2.3,q3.3,timestamp.4,node.4,accx.4,accy.4,accz.4,gyrox.4,gyroy.4,gyroz.4,q0.4,q1.4,q2.4,q3.4,timestamp.5,node.5,accx.5,accy.5,accz.5,gyrox.5,gyroy.5,gyroz.5,q0.5,q1.5,q2.5,q3.5,timestamp.6,node.6,accx.6,accy.6,accz.6,gyrox.6,gyroy.6,gyroz.6,q0.6,q1.6,q2.6,q3.6,timestamp.7,node.7,accx.7,accy.7,accz.7,gyrox.7,gyroy.7,gyroz.7,q0.7,q1.7,q2.7,q3.7,timestamp.8,node.8,accx.8,accy.8,accz.8,gyrox.8,gyroy.8,gyroz.8,q0.8,q1.8,q2.8,q3.8
0,0,0.019,0.0,-1.44e-18,-1.38e-17,1.0,-0.006672146,-0.009663175,0.019103337,0.999999371614439,-0.0003336070903659,-0.0004828397959563,0.000955166356091,0.019,1.0,-5.28e-17,4.5e-17,1.0,-0.001263809,-0.008185688,0.027894657,0.9999989416445022,-6.319038312203759e-05,-0.0004091958331284,0.001394731379446,0.019,2.0,-1.55e-17,-1.06e-18,1.0,0.001036907,0.008240976,0.027099984,0.999998995782959,5.184529793601599e-05,0.0004119781358763,0.0013549978429288,0.019,3.0,6.37e-18,8.75e-17,1.0,-0.005093758,0.00579126,0.015454021,0.9999996270533804,-0.000254687805015,0.0002897596895428,0.0007727008119457,0.02,4.0,7.22e-17,-6.93e-17,1.0,0.006472953,0.005476449,0.012449435,0.9999997164564168,0.0003236475582317,0.0002736209108974,0.0006224716387046,0.0,5.0,-1.05e-16,1.96e-16,1.0,0.010940724,0.012791893,0.002818371,0.9999996359555156,0.0005470360008544,0.000639517329639,0.000140918540869,0.0,6.0,1.83e-17,2.27e-18,1.0,-0.002127535,0.000458339,-0.001357666,0.9999999917754946,-0.0001063767491251,2.2909728606744623e-05,-6.788330020986173e-05,0.0,7.0,-5.54e-17,3.14e-18,1.0,-0.010378877,-0.000105214,-0.028915825,0.99999882017593,-0.0005189432377375,-6.010977385664372e-06,-0.0014457899335757,0.0,8.0,-5.85e-17,-5.63e-17,1.0,0.004679539,0.003761453,0.003502243,0.9999999396173088,0.0002339769358718,0.0001880316664393,0.0001751121490128
1,1,0.124,0.0,-0.000423343,-0.000883611,0.980044917,-0.002887542,-0.007491163,-0.001683619,0.999999190633463,-0.0004893256621043,-0.0007877377097718,0.0008710695241479,0.124,1.0,-8.45e-18,7.2e-18,0.979698933,0.010543296,-0.003993129,-0.009229394,0.9999992927576958,0.0004707603985091,-0.0005669799495962,0.0009334894172103,0.124,2.0,-0.000211302,0.000935256,0.979201757,0.012260541,0.024001716,0.002598067,0.9999973965920602,0.0007058548660369,0.0015824558215717,0.0014847260967923,0.124,3.0,-1.25e-05,-0.000986658,0.979697926,-0.002802776,-0.008414764,-0.032010794,0.9999995564917814,-0.0004198517462027,-0.0001601359213262,-0.0008277060097377,0.124,4.0,0.000657648,0.001250497,0.979004088,0.019056732,-0.006205994,0.027503111,0.9999971443505854,0.0013085721633082,-9.879445693689116e-05,0.0019972904704528,0.085,5.0,-1.21e-16,2.38e-16,0.979002043,0.004299255,0.003831277,-0.005317806,0.9999994477817838,0.000707098013925,0.0007673476649077,-0.0001250043480869,0.085,6.0,1.01e-17,1.49e-17,0.980349938,-0.001328167,-0.002522119,-0.004558846,0.9999999375327036,-0.000162161199545,-0.0001055196424237,-0.0002958106475455,0.085,7.0,-0.000886414,-0.001028964,0.97924775,-0.020416121,0.023244544,-0.043219504,0.9999915895256782,-0.0015386241734946,0.0012002940285399,-0.0036073269611868,0.086,8.0,-2.26e-17,-5.86e-17,0.979798449,0.00013228,0.009751541,-0.008449488,0.9999997301255252,0.0002170283816908,0.0006568982335047,-0.0002472494063966
2,2,0.154,0.0,-1.15e-18,-1.1e-17,0.979844886,0.001957359,-0.011553119,-0.014608225,0.9999991038581044,-0.0003414465327171,-0.0012867832757996,0.0001410179235122,0.155,1.0,0.00116957,0.000254277,0.980452226,0.008048811,-0.014337592,-0.012059121,0.9999987656868928,0.0008401582676278,-0.0012859103947948,0.0003304439932968,0.155,2.0,-0.000211302,0.000935256,0.979201757,0.010542539,0.004134136,0.005291698,0.9999963902129532,0.0012102461742403,0.0016422393042783,0.0017486896031794,0.155,3.0,-1.25e-05,-0.000986658,0.979697926,0.009151042,0.004140542,0.019423499,0.9999999872826904,2.9346955892208317e-05,6.317726992039736e-05,0.0001434643083567,0.155,4.0,0.000657648,0.001250497,0.979004088,0.020634995,-0.003939379,0.018428117,0.9999931051127948,0.0022736917704257,-0.0003193767043566,0.0029185700479167,0.17,5.0,-1.21e-16,2.38e-16,0.979002043,0.002766839,0.005557667,-0.007993734,0.999999093228744,0.0007744581047255,0.0009687882758699,-0.0005246004290851,0.169,6.0,1.01e-17,1.49e-17,0.980349938,-0.002443372,0.001941239,-0.000362116,0.9999999147827248,-0.0002680830458041,2.125549047131711e-06,-0.0003139450681185,0.17,7.0,-8.8e-17,1.61e-17,0.978853411,0.012494338,-0.027150004,0.042662841,0.9999985861682568,-0.0007623761387329,-0.00027786572979,-0.0014728322194282,0.17,8.0,-2.26e-17,-5.86e-17,0.979798449,0.00238462,0.005885888,-0.021780311,0.9999986655751206,0.0003139136746103,0.0008858144860349,-0.0013362779947415
3,3,0.26,0.0,-1.15e-18,-1.1e-17,0.979844886,-0.001075309,0.000448414,-0.016000434,0.9999990727668386,-0.0003600409354457,-0.001135979696781,-0.0006590797497565,0.26,1.0,0.002029953,0.000734572,0.980281765,0.001967688,0.009944788,0.012355206,0.9999988609562532,0.0008910693472947,-0.000764124750974,0.0009487860554743,0.26,2.0,-0.000211302,0.000935256,0.979201757,0.001192443,-0.007463334,-0.008950244,0.99999781515888,0.0011964981710222,0.0011163620715779,0.0013006941678485,0.26,3.0,-1.25e-05,-0.000986658,0.979697926,-0.003035317,0.009606442,-0.041838806,0.9999979418828296,-0.000175909587227,0.00053742148339,-0.001948451711236,0.26,4.0,-0.000203051,0.000886041,0.979359573,-0.028633223,0.015323294,-0.059508151,0.999999663010357,0.0006585671393617,0.0004870069785701,-5.56120319276324e-05,0.24,5.0,-0.001265554,0.002423918,0.979725228,0.002383713,0.003323092,-0.004070584,0.9999986853479024,0.0009398251568336,0.0011027147400274,-0.0007280462509047,0.24,6.0,1.01e-17,1.49e-17,0.980349938,0.000542172,0.002863201,-0.006479447,0.9999997630703192,-0.0002141218806724,0.0001449951299543,-0.0006379557489057,0.24,7.0,-8.8e-17,1.61e-17,0.978853411,-0.005662509,0.006676308,-0.03115799,0.999994934086192,-0.0009683373380138,8.264321687093496e-05,-0.0030310550722176,0.24,8.0,-2.26e-17,-5.86e-17,0.979798449,-0.005231347,0.003491439,-0.024349323,0.99999626716696,2.011061737557836e-05,0.0009721779395283,-0.0025534521266866
4,4,0.305,0.0,-1.15e-18,-1.1e-17,0.979844886,-0.000196634,0.004337362,-0.008304807,0.9999990427608836,-0.0003332538959923,-0.000805645739663,-0.001074408720886,0.305,1.0,0.00116957,0.000254277,0.980452226,0.000497105,0.013461109,-0.016900335,0.9999996391693462,0.0008398481607775,-7.355540229046029e-05,0.0001044310645271,0.305,2.0,-0.001179333,0.000694836,0.979273264,0.007192837,0.01132765,-0.001224507,0.9999968179198668,0.0014710827642303,0.0016319251121449,0.0012397120913388,0.306,3.0,-1.25e-05,-0.000986658,0.979697926,-0.00082061,-0.003695445,0.004354879,0.9999984262017292,-0.0002499459240415,0.0002997777861717,-0.0017306803224904,0.306,4.0,-0.000860698,-0.000364456,0.979298283,0.015211761,-0.002466851,0.046575736,0.9999964619757724,0.001335815889159,0.0003557553453657,0.002272679031998,0.297,5.0,-0.001265554,0.002423918,0.979725228,-0.001812868,3.22e-05,-0.009072484,0.9999983554426864,0.0008784507939203,0.001059014690298,-0.0011814922813953,0.297,6.0,1.01e-17,1.49e-17,0.980349938,-0.008008032,0.003068363,0.005372983,0.9999997155850356,-0.0005929743292036,0.0002843284484572,-0.0003692812287481,0.297,7.0,6.51e-05,-0.00099391,0.97894229,-0.00641185,0.011077434,-0.018702782,0.9999911669933544,-0.0012412656375621,0.0006248855421747,-0.0039667005112154,0.297,8.0,-2.26e-17,-5.86e-17,0.979798449,-0.007058015,-0.006656571,-0.001033162,0.9999964037924612,-0.0003357000092021,0.0005430164922119,-0.0026047726844923
5,5,0.378,0.0,-1.15e-18,-1.1e-17,0.979844886,0.000725843,0.007181701,-0.010366047,0.9999986299113404,-0.000262832995413,-0.0003661717337098,-0.0015928002135669,0.379,1.0,0.00116957,0.000254277,0.980452226,0.00109017,0.008771842,-0.007665597,0.9999995732982824,0.0008233277348162,0.0003130703202069,-0.0002784271341789,0.379,2.0,-0.001179333,0.000694836,0.979273264,0.000674916,0.011583076,0.004147065,0.999995760405217,0.0013927432009174,0.0021078957609179,0.0014478305940891,0.379,3.0,-0.000952285,-0.001901069,0.980227769,0.009890586,0.010196172,0.002527829,0.9999983552340388,0.0001736110500726,0.0008274722619887,-0.001604580342739,0.379,4.0,-0.000860698,-0.000364456,0.979298283,-0.018085455,0.015567692,-0.052376309,0.9999992512061642,0.0002765479277582,0.0011411335573575,-0.0003448515020867,0.376,5.0,-0.001265554,0.002423918,0.979725228,-0.004207298,-0.002669999,-0.010480511,0.9999979072688188,0.0007033082026085,0.0008846714298866,-0.0017053363351181,0.375,6.0,1.01e-17,1.49e-17,0.980349938,-0.005686711,-0.000191688,-0.009596418,0.9999992746359608,-0.0008181521741966,0.0002460236285179,-0.0008490152805029,0.376,7.0,6.51e-05,-0.00099391,0.97894229,0.001587933,0.006361968,0.009105065,0.9999928573453656,-0.0010869737525013,0.0008775492881159,-0.0035119301757932,0.378,8.0,-2.26e-17,-5.86e-17,0.979798449,-0.003063165,-0.004643628,0.000721611,0.9999965643970496,-0.0004558729113771,0.000256949618157,-0.0025685308795952
6,6,0.423,0.0,0.000423343,0.000883611,0.979644854,0.002572516,0.000187412,-0.015540877,0.9999971314965558,-6.256081327848236e-05,-0.0003421161545192,-0.0023698188415194,0.423,1.0,-8.45e-18,7.2e-18,0.979698933,-0.005571099,0.025056164,0.036336095,0.9999975313509976,0.0004633565047231,0.0015338034414792,0.0015394933137015,0.423,2.0,-0.001179333,0.000694836,0.979273264,-0.001702421,0.007889584,0.003479541,0.9999951946277216,0.0012035340908082,0.0023515173730256,0.0016225267953011,0.424,3.0,-0.000939745,-0.00091441,0.980065447,0.006930692,0.010860339,-0.014093088,0.9999963371593712,0.0004564981721528,0.0013355231641553,-0.0023094707484859,0.424,4.0,-0.001721397,-0.000728913,0.979653768,0.009931575,0.010071728,0.006877784,0.9999984396926068,0.000708865024722,0.0016180607551471,-1.4564435871646632e-06,0.458,5.0,-0.001265554,0.002423918,0.979725228,0.000733766,0.005178235,-0.013175871,0.9999962641129758,0.0007933375310079,0.0011199510078378,-0.0023639131526823,0.458,6.0,1.01e-17,1.49e-17,0.980349938,-0.005464378,0.000238956,0.000297134,0.9999991152616098,-0.0010095418737062,0.000233616037889,-0.0008341011626651,0.458,7.0,-0.000886414,-0.001028964,0.97924775,0.00252619,-0.000412302,-0.006462251,0.9999919054249584,-0.0009047030449999,0.0008138876677571,-0.0038351250077926,0.459,8.0,-2.26e-17,-5.86e-17,0.979798449,-0.007515444,-8.65e-05,0.001776149,0.9999965908073974,-0.0007860448134458,0.0002279646514012,-0.002479624820703
7,7,0.512,0.0,0.001251151,0.000596052,0.980126563,-0.001617256,-0.009966253,-0.025634039,0.9999929488818432,-0.000107653962216,-0.0008700574024263,-0.0036515198665915,0.512,1.0,-0.000860384,-0.000480295,0.979869394,-0.001622378,0.013124603,0.022648152,0.9999942175220048,0.0003120533770378,0.0020800357465087,0.0026722643088178,0.512,2.0,-0.001179333,0.000694836,0.979273264,-0.004161007,0.016586306,-0.000563758,0.9999937964776114,0.0009090992949377,0.0030056364167478,0.0015958366131207,0.513,3.0,-0.000939745,-0.00091441,0.980065447,0.009463349,0.008636004,-0.013439883,0.9999937897502688,0.0008375732752077,0.0016812890094611,-0.0029819790694304,0.513,4.0,-0.002379044,-0.00197941,0.979592478,-0.014676819,0.014910009,-0.041360837,0.9999951439611056,-0.0002002364829203,0.0023227641909108,-0.002068024678704,0.554,5.0,-0.001016118,0.001413477,0.978017367,0.006243487,0.007395165,-0.004689738,0.9999949989842062,0.0010991728156178,0.0014290088938869,-0.0025984147629356,0.554,6.0,1.01e-17,1.49e-17,0.980349938,-0.006522756,0.002938542,-0.005344854,0.9999985674733346,-0.0012346649936278,0.0003571234221124,-0.0011014156771143,0.555,7.0,-0.000886414,-0.001028964,0.97924775,-0.001258602,-0.001057095,-0.010898619,0.999989712648111,-0.0009301728629164,0.0007248402024012,-0.004379952405541,0.555,8.0,-2.26e-17,-5.86e-17,0.979798449,-0.001749121,0.006003757,-0.000197013,0.999996457574468,-0.0007941539974574,0.0005055640176049,-0.0024896913397951
8,8,0.543,0.0,0.002447082,-6.1e-05,0.979755076,-0.00537705,-0.022723127,-0.035846188,0.9999830241925206,-0.0003718946215325,-0.002043741004071,-0.0054439088786816,0.543,1.0,-0.001720767,-0.00096059,0.980039854,-0.008744771,0.016674592,0.015131132,0.9999901979869648,-0.0002062822127997,0.0027923998545083,0.0034298514096185,0.543,2.0,-0.001179333,0.000694836,0.979273264,-0.004818157,0.016187347,-0.010801269,0.999992866082928,0.0006097494901334,0.0035746512663325,0.0010572876307942,0.544,3.0,-0.000939745,-0.00091441,0.980065447,0.009392052,-0.001321594,-0.020210338,0.9999902183745458,0.0011750110496776,0.001494949947487,-0.0039934482488154,0.544,4.0,-0.002833641,-0.004115948,0.979114411,-0.019402156,0.008640515,-0.059229489,0.9999828748943542,-0.0013661705032105,0.002665593463482,-0.0050277338499335,0.586,5.0,-0.001265554,0.002423918,0.979725228,0.008079564,0.014699177,0.006381759,0.999994077599433,0.0015194676237508,0.0020837929857314,-0.0022789890284854,0.585,6.0,1.01e-17,1.49e-17,0.980349938,-0.003526628,0.006497787,0.002604419,0.9999984906289012,-0.0012871254345406,0.0006466618076392,-0.000971533088481,0.586,7.0,6.51e-05,-0.00099391,0.97894229,0.012744139,-0.021250317,0.033833255,0.9999962692082182,-0.0002541547439566,-0.0004156213660543,-0.0026877934985357,0.586,8.0,-2.26e-17,-5.86e-17,0.979798449,0.015973995,0.004761835,0.020144708,0.9999986579113054,8.506290366376997e-05,0.0006910243280557,-0.0014830459427652
9,9,0.617,0.0,0.003698233,0.00053503,0.980036753,-0.01138081,-0.032288835,-0.047181224,0.9999625328095416,-0.0008814231532594,-0.0036415447214875,-0.0078035390940703,0.617,1.0,-0.002581151,-0.001440885,0.980210315,-0.010413363,0.0161266,0.036905639,0.9999798250336968,-0.0007778728747335,0.0034505291518445,0.0052762001421583,0.617,2.0,-0.001179333,0.000694836,0.979273264,-0.017982253,-0.012124617,0.003810807,0.999995603318461,-0.0003135989279118,0.0026703184673584,0.0012507592664094,0.618,3.0,-0.000939745,-0.00091441,0.980065447,0.009855944,-0.010475161,-0.050008146,0.9999774036650612,0.0014980065624878,0.000871612126933,-0.0064952619594652,0.618,4.0,-0.00263059,-0.005001989,0.978697635,-0.024537406,-0.004164107,-0.078899019,0.999953371453744,-0.0027227738475236,0.0023219205097593,-0.0089693983082785,0.657,5.0,-0.002117799,0.001928667,0.979893767,0.010113564,0.016142641,0.008481855,0.9999924430229442,0.0019745756576811,0.0027883870243848,-0.0018546821232407,0.657,6.0,1.01e-17,1.49e-17,0.980349938,-0.002346003,0.007420564,-0.000414991,0.9999982397979764,-0.0012753660249436,0.0009531107913058,-0.0009926843763417,0.657,7.0,0.001552526,0.000244002,0.980444047,0.010629452,-0.014356366,0.028036789,0.9999984369332384,0.0003124515197705,-0.0011729500810944,-0.0012855711706758,0.657,8.0,-0.000689451,0.000705685,0.979961748,0.017326397,-0.000460454,0.021702468,0.999999241236384,0.0009796492892853,0.0006316746508784,-0.0003984985094534
