Timestamp,Ax,Ay,Az,Rx,Ry,Rz,HR_value
0,-0.6908,0.5979,-0.3428,-0.4164,0.0631,-1.0477,0
0,-0.6632,0.5959,-0.3286,-0.4219,0.0763,-1.0041,0
0,-0.6744,0.6204,-0.2918,-0.4502,0.1112,-0.9616,0
0,-0.703,0.601,-0.3306,-0.5112,0.1438,-0.9408,0
0,-0.6887,0.601,-0.2918,-0.544,0.1242,-0.9005,0
0,-0.6724,0.5928,-0.2928,-0.5757,0.0969,-0.8558,0
0,-0.6735,0.5836,-0.2979,-0.6236,0.098,-0.8231,0
0,-0.6673,0.5622,-0.301,-0.653,0.1155,-0.8012,0
0,-0.6857,0.5684,-0.2704,-0.653,0.1155,-0.8012,0
0,-0.6857,0.5684,-0.2704,-0.6421,0.1373,-0.7806,0
0,-0.6949,0.5449,-0.2653,-0.6606,0.1623,-0.7729,0
0,-0.7071,0.5306,-0.2551,-0.6803,0.1678,-0.7478,0
0,-0.7081,0.5193,-0.2428,-0.6825,0.1461,-0.7174,0
0,-0.7,0.5051,-0.2214,-0.6944,0.1079,-0.6955,0
0,-0.6826,0.4959,-0.2306,-0.7283,0.0566,-0.6814,0
0,-0.6408,0.502,-0.2183,-0.7577,0.0174,-0.6672,0
0,-0.5622,0.5153,-0.2163,-0.7882,0.0021,-0.6682,0
0,-0.551,0.5173,-0.2,-0.834,0.0261,-0.6759,0
0,-0.5398,0.4908,-0.1837,-0.834,0.0261,-0.6759,0
0,-0.5632,0.451,-0.201,-0.8973,0.0795,-0.6879,0
0,-0.5632,0.451,-0.201,-0.9473,0.1177,-0.6879,0
0,-0.5796,0.4122,-0.1775,-0.9343,0.1177,-0.6955,0
0,-0.5765,0.3908,-0.1479,-0.9059,0.1024,-0.7184,0
0,-0.5959,0.3704,-0.1479,-0.87,0.0784,-0.7598,0
0,-0.5959,0.3582,-0.1265,-0.8056,0.0326,-0.8012,0
0,-0.6112,0.3663,-0.1245,-0.7327,0.0021,-0.8514,0
0,-0.6082,0.3745,-0.1082,-0.6705,0.0152,-0.9124,0
0,-0.6551,0.401,-0.0959,-0.6127,0.0621,-0.9681,0
0,-0.6898,0.4183,-0.0959,-0.6127,0.0621,-0.9681,0
0,-0.7112,0.4306,-0.0887,-0.5635,0.1035,-0.9986,0
0,-0.7112,0.4306,-0.0887,-0.5461,0.1167,-0.9899,0
0,-0.7388,0.4387,-0.0979,-0.5604,0.1024,-0.954,0
0,-0.7755,0.4479,-0.1132,-0.5713,0.074,-0.9147,0
