Timestamp,Ax,Ay,Az,Rx,Ry,Rz,EMG
0,-0.0706,-0.9976,-0.1536,0.1013,0.0668,0.0645,2028
0,-0.0491,-1.0022,-0.1453,0.1099,0.0643,0.0704,2040
0,-0.0361,-1.0137,-0.1567,0.1242,0.0858,0.0895,2034
0,-0.0437,-1.0051,-0.1516,0.1386,0.1246,0.11,2037
0,-0.0435,-1.0002,-0.1504,0.1467,0.1474,0.1269,2051
0,-0.0251,-0.9863,-0.1521,0.1611,0.1489,0.1458,2021
0,-0.0122,-0.9812,-0.1565,0.1494,0.1119,0.163,2029
0,-0.012,-0.9832,-0.1516,0.153,0.0755,0.1928,2022
0,-0.0559,-1.0076,-0.1475,0.1477,0.0581,0.2097,1973
0,-0.0354,-0.9902,-0.1333,0.1459,0.0615,0.2256,2045
0,-0.0322,-0.9924,-0.1353,0.1471,0.0627,0.2486,2017
0,-0.0591,-1.012,-0.1108,0.1542,0.0694,0.2697,2075
0,-0.1045,-1.0168,-0.1096,0.1446,0.1103,0.2855,2037
0,-0.115,-1.0171,-0.1396,0.1509,0.1194,0.2835,2044
0,-0.0981,-0.9929,-0.1462,0.1581,0.0916,0.2842,2054
0,-0.0938,-0.981,-0.144,0.1693,0.0973,0.2904,2027
0,-0.0833,-0.9844,-0.1414,0.1694,0.0682,0.2922,2053
0,-0.0713,-0.9961,-0.1406,0.171,0.0406,0.3009,2055
0,-0.0911,-1.0085,-0.1519,0.1878,0.0489,0.3133,2047
0,-0.0811,-0.9846,-0.1497,0.1995,0.0352,0.3201,2037
0,-0.062,-0.9624,-0.1504,0.1985,0.0128,0.3264,2046
0,-0.064,-0.9885,-0.1167,0.19,0.0374,0.3473,2056
0,-0.1011,-1.0076,-0.1462,0.1902,0.0711,0.3639,2065
0,-0.1377,-0.9949,-0.1587,0.2013,0.0836,0.369,2043
0,-0.1516,-1.0042,-0.1658,0.2213,0.0734,0.3594,2078
0,-0.1292,-0.9963,-0.1411,0.2286,0.0491,0.3553,2079
0,-0.135,-0.9956,-0.1255,0.2509,0.0623,0.3558,2071
0,-0.1238,-0.9941,-0.1167,0.2464,0.0847,0.3602,2046
0,-0.1431,-0.9932,-0.1372,0.2575,0.1164,0.3682,2048
0,-0.1292,-0.9697,-0.1367,0.2509,0.1049,0.3703,2081
0,-0.1001,-0.979,-0.1177,0.2614,0.0923,0.3791,2037
0,-0.1206,-0.9724,-0.1067,0.2566,0.1028,0.3936,2052
0,-0.1213,-0.9795,-0.1013,0.2614,0.0882,0.4067,1969
0,-0.1248,-0.9905,-0.0659,0.253,0.0828,0.416,2033
0,-0.1536,-0.9973,-0.0845,0.2574,0.1063,0.4277,2049
0,-0.1802,-0.9978,-0.0935,0.2662,0.1326,0.4328,2061
0,-0.1687,-0.9819,-0.0864,0.2717,0.1159,0.4316,2063
0,-0.1665,-0.9812,-0.0757,0.281,0.1177,0.444,2041
0,-0.1831,-0.9795,-0.0625,0.2674,0.116,0.4485,2058
0,-0.1531,-0.9783,-0.0701,0.2746,0.1056,0.4646,2039
0,-0.1343,-0.9624,-0.063,0.2792,0.1314,0.4743,2030
0,-0.1567,-0.9719,-0.0659,0.2767,0.1384,0.4942,2064
0,-0.1899,-0.981,-0.0737,0.2815,0.1376,0.5084,2027
0,-0.2063,-0.9788,-0.1006,0.282,0.1546,0.5123,2034
0,-0.2029,-0.9756,-0.1023,0.2894,0.1226,0.4968,2001
0,-0.2114,-0.9678,-0.0959,0.2976,0.1164,0.5179,2041
