Timestamp,Ax,Ay,Az,Rx,Ry,Rz,EMG
0,0.5376,-0.4285,0.1248,0.1302,0.2625,-1.0312,2037
0,0.5781,-0.446,0.0334,0.2522,-0.4987,-1.0011,2039
0,0.5601,-0.3972,0.2227,-0.0486,-0.5422,-1.0772,2038
0,0.5283,-0.4236,0.1941,-0.2136,-0.4552,-1.1856,2041
0,0.3972,-0.4653,0.1636,-0.3205,-0.5333,-1.1366,2040
0,0.2698,-0.5012,0.0645,-0.3298,-0.5857,-1.069,2038
0,0.2295,-0.5293,0.0046,-0.2009,-0.5343,-1.0377,2037
0,0.2266,-0.5564,-0.0056,-0.0449,-0.4759,-1.0086,2036
0,0.2939,-0.5642,-0.0635,0.0796,-0.5927,-0.9003,2037
0,0.3142,-0.5974,-0.0928,0.242,-0.7971,-0.7914,2036
0,0.3274,-0.657,-0.0947,0.3735,-0.9721,-0.6894,2036
0,0.3447,-0.7112,-0.0793,0.4602,-1.1259,-0.5749,2034
0,0.355,-0.7415,-0.0701,0.5229,-1.3039,-0.4742,2037
0,0.3494,-0.7451,-0.04,0.5034,-1.4873,-0.3569,2032
0,0.3054,-0.7515,-0.0244,0.4562,-1.6548,-0.2699,2038
0,0.261,-0.7473,-0.0068,0.3939,-1.7436,-0.1643,2033
0,0.2446,-0.7422,0.0291,0.3429,-1.7572,-0.083,2037
0,0.1816,-0.6902,0.0657,0.1816,-1.5515,-0.0253,2036
0,0.1841,-0.6572,0.0693,0.1449,-1.2894,-0.0161,2045
0,0.1592,-0.6377,0.0715,0.0583,-0.9693,0.0176,2037
0,0.1882,-0.6147,0.0601,0.0081,-0.6677,0.0634,2036
0,0.1953,-0.6326,0.0522,-0.0138,-0.4101,0.0831,2037
0,0.2092,-0.6619,0.0229,-0.0099,-0.21,0.1381,2036
0,0.2529,-0.699,-0.0073,0.0123,-0.0848,0.1731,2037
0,0.2888,-0.7573,-0.0254,0.0411,-0.0337,0.2464,2036
0,0.3362,-0.7827,-0.0547,0.1068,-0.0233,0.3497,2040
0,0.3521,-0.8315,-0.0552,0.1786,-0.0294,0.4698,2038
0,0.3706,-0.8833,-0.0637,0.2346,-0.0039,0.602,2039
0,0.3789,-0.9351,-0.0745,0.2567,0.004,0.7461,2036
0,0.4023,-1.0,-0.0676,0.2807,-0.002,0.854,2038
0,0.4077,-1.0562,-0.0637,0.3405,-0.0234,0.9508,2033
0,0.4011,-1.1196,-0.0369,0.3545,-0.0613,1.0428,2033
0,0.4124,-1.1479,-0.021,0.3438,-0.1248,1.1263,2034
0,0.417,-1.1433,-0.0027,0.3293,-0.2056,1.2199,2036
0,0.425,-1.1414,0.0081,0.3501,-0.2625,1.3363,2036
0,0.4204,-1.1436,0.0183,0.3296,-0.2589,1.44,2037
0,0.4292,-1.1245,0.0107,0.3189,-0.2382,1.5384,2036
0,0.4331,-1.1265,0.0144,0.2926,-0.1756,1.55,2034
0,0.4451,-1.1399,-0.0088,0.3155,-0.0838,1.6402,2034
0,0.469,-1.1965,-0.0391,0.3597,0.0073,1.7026,2038
0,0.4521,-1.3149,-0.0884,0.404,0.1037,1.7591,2033
0,0.3818,-1.3403,-0.125,0.4907,0.2302,1.7243,2034
0,0.4106,-1.3862,-0.1084,0.5408,0.296,1.6925,2038
0,0.3984,-1.3633,-0.1042,0.599,0.3655,1.5102,2050
0,0.3904,-1.3796,-0.0164,0.4982,0.3974,1.4094,2035
0,0.3892,-1.311,0.0359,0.3615,0.4564,1.2465,2035
0,0.3618,-1.345,0.1199,0.1083,0.5203,1.0567,2041
0,0.3376,-1.2988,0.104,-0.1048,0.7154,0.9488,2035
0,0.3296,-1.2864,0.0986,-0.1863,0.9782,0.8159,2038
0,0.3508,-1.3955,0.1057,-0.2473,1.2548,0.6502,2036
0,0.2996,-1.4443,0.114,-0.4357,1.4984,0.4841,2034
0,0.2803,-1.4421,0.1208,-0.6379,1.7211,0.2671,2038
0,0.2161,-1.386,0.127,-0.8228,1.9026,0.0174,2034
0,0.1777,-1.2852,0.1023,-0.8505,2.0411,-0.218,2036
0,0.1211,-1.2319,0.0833,-0.8795,2.1755,-0.452,2037
0,0.0879,-1.176,0.0862,-0.8771,2.3828,-0.6629,2040
0,0.093,-1.1321,0.0784,-0.8742,2.657,-0.8513,2038
0,0.1277,-1.0911,0.0693,-0.9015,2.8604,-1.0122,2037
0,0.1907,-1.0537,0.0396,-0.9341,2.8754,-1.1143,2036
0,0.2219,-1.0217,0.0234,-0.9288,2.792,-1.2077,2038
0,0.219,-1.0085,-0.0103,-0.9621,2.6562,-1.2588,2036
0,0.1951,-0.9836,0.0022,-0.963,2.6449,-1.3107,2035
0,0.2854,-0.9287,-0.0151,-0.9516,2.4956,-1.3669,2032
0,0.3552,-0.9409,-0.0107,-0.9357,2.2148,-1.3869,2032
0,0.3362,-0.8728,0.0215,-1.0078,1.8895,-1.3822,2036
0,0.3347,-0.8481,-0.0076,-1.0602,1.5467,-1.3631,2035
0,0.2964,-0.8213,-0.0156,-1.1009,1.1789,-1.3569,2036
0,0.2844,-0.7749,-0.0156,-1.1417,0.7975,-1.3571,2039
0,0.2375,-0.8062,0.0193,-1.3087,0.5115,-1.3765,2041
0,0.1755,-0.7039,0.0193,-1.2296,0.3959,-1.3985,2036
0,0.1499,-0.7354,0.0181,-1.3029,0.3208,-1.4759,2035
0,0.1423,-0.7087,0.0171,-1.3239,0.1836,-1.5271,2032
0,0.1392,-0.7173,0.0146,-1.2204,0.0569,-1.552,2038
0,0.103,-0.7642,-0.011,-1.1884,0.0266,-1.5261,2033
0,0.0913,-0.8018,-0.0347,-1.1813,0.0264,-1.5058,2033
0,0.0684,-0.8723,-0.0403,-1.3404,0.0878,-1.494,2035
0,0.1414,-0.8232,-0.1272,-1.293,0.0454,-1.4623,2032
0,0.1582,-0.8345,-0.1125,-1.2258,0.0418,-1.4483,2036
0,0.1323,-0.8657,-0.1064,-1.1062,-0.0489,-1.3894,2034
0,0.145,-0.8347,-0.1013,-1.0959,-0.1354,-1.3045,2035
0,0.1677,-0.8274,-0.1379,-1.0166,-0.1787,-1.2592,2036
0,0.1858,-0.8403,-0.1411,-0.8534,-0.4236,-1.0991,2040
0,0.1963,-0.8416,-0.1216,-0.8228,-0.5731,-1.0066,2037
0,0.197,-0.8555,-0.1387,-0.8123,-0.6851,-0.922,2035
0,0.2441,-0.8687,-0.1558,-0.7333,-0.8247,-0.7863,2036
0,0.2524,-0.8833,-0.1882,-0.5805,-0.9467,-0.6438,2035
0,0.2463,-0.9216,-0.1812,-0.4296,-0.9766,-0.494,2034
0,0.2444,-0.927,-0.1782,-0.2567,-1.0013,-0.3615,2036
0,0.2317,-0.9443,-0.1704,-0.1412,-0.8742,-0.2025,2035
0,0.2427,-0.9551,-0.1653,0.0185,-0.7112,-0.0294,2036
0,0.2444,-0.9639,-0.1653,0.1653,-0.5219,0.0949,2036
0,0.2715,-0.9602,-0.1597,0.3306,-0.3578,0.2209,2039
0,0.3137,-0.9844,-0.1409,0.5082,-0.2734,0.3211,2034
0,0.3359,-1.0154,-0.113,0.6558,-0.2179,0.4528,2053
0,0.355,-1.05,-0.1025,0.803,-0.1927,0.5377,2036
0,0.3613,-1.0681,-0.1062,0.911,-0.1621,0.6646,2034
0,0.3833,-1.0972,-0.1055,1.033,-0.1714,0.8108,2035
0,0.3887,-1.1082,-0.1042,1.1629,-0.1859,0.9247,2034
0,0.4258,-1.1025,-0.0759,1.2901,-0.2341,1.0509,2036
0,0.4302,-1.1135,-0.0505,1.3877,-0.3285,1.1239,2038
0,0.4968,-1.144,-0.0415,1.4821,-0.5312,1.2001,2031
0,0.6689,-1.051,-0.0056,1.5013,-0.5774,1.0653,2036
0,0.5671,-1.1641,-0.0308,1.6711,-0.9649,1.0642,2036
0,0.5195,-1.1907,0.0381,1.8377,-1.3523,1.0943,2034
0,0.6406,-1.1907,0.0537,1.9583,-1.5853,1.1845,2037
1,0.4463,-1.188,0.0078,2.1028,-2.0394,1.3186,2035
1,0.3862,-1.2412,0.0771,2.2469,-2.0947,1.377,2033
1,0.4128,-1.2568,0.0923,2.1746,-1.9952,1.3977,2039
1,0.4663,-1.2444,0.1174,2.0807,-1.8319,1.3054,2037
1,0.4087,-1.2336,0.1333,2.0041,-1.6504,1.2178,2036
1,0.2979,-1.2756,0.115,1.7584,-1.5535,1.0544,2035
1,0.2788,-1.2749,0.083,1.7495,-1.2532,0.7994,2038
1,0.2754,-1.187,-0.0347,2.127,-1.0476,0.5924,2038
1,0.49,-1.366,0.0999,2.4665,-0.9678,0.5789,2034
1,0.5608,-1.5278,0.1169,2.2095,-0.9168,0.5663,2035
1,0.5798,-1.4753,0.1375,1.8817,-1.0501,0.6144,2033
1,0.4492,-1.2715,0.1726,1.6081,-1.2456,0.4878,2039
1,0.4436,-1.1179,0.1758,1.3378,-1.4482,0.2992,2036
1,0.4377,-0.991,0.1794,1.1415,-1.4929,0.1625,2042
1,0.4719,-0.9011,0.1848,1.0633,-1.4263,0.0237,2039
1,0.418,-0.8962,0.1562,1.0074,-1.3834,-0.0662,2036
1,0.3276,-0.8579,0.1206,0.9545,-1.2575,-0.188,2039
1,0.2798,-0.8757,0.064,0.9592,-1.1117,-0.2581,2036
1,0.2627,-0.8379,-0.011,0.8493,-1.0243,-0.2739,2036
1,0.2456,-0.7415,-0.0801,0.8264,-0.9176,-0.2964,2036
1,0.2566,-0.6963,-0.0996,0.824,-0.823,-0.3123,2032
1,0.2366,-0.6128,-0.1243,0.7765,-0.744,-0.3533,2037
1,0.2161,-0.5593,-0.1282,0.7356,-0.6251,-0.3902,2030
1,0.2131,-0.5059,-0.1387,0.6791,-0.5568,-0.3971,2035
1,0.2031,-0.4768,-0.147,0.5769,-0.4659,-0.3701,2036
1,0.2014,-0.4478,-0.145,0.446,-0.3497,-0.3418,2039
1,0.2314,-0.3818,-0.1682,0.3489,-0.2747,-0.2843,2032
1,0.2512,-0.356,-0.1909,0.2617,-0.2402,-0.2602,2037
1,0.2432,-0.3269,-0.1941,0.2348,-0.2116,-0.2216,2032
1,0.2158,-0.3325,-0.2,0.2204,-0.1704,-0.18,2036
1,0.2549,-0.2935,-0.2197,0.2111,-0.1734,-0.1298,2035
1,0.2444,-0.282,-0.2314,0.2706,-0.1547,-0.0641,2036
1,0.2285,-0.3232,-0.2144,0.2802,-0.1113,-0.025,2036
1,0.2458,-0.3303,-0.2117,0.3083,-0.0815,0.0234,2033
1,0.2292,-0.3921,-0.1943,0.2671,-0.0525,0.0823,2033
1,0.2417,-0.4424,-0.1755,0.231,-0.0653,0.12,2039
1,0.2664,-0.4829,-0.1724,0.1808,-0.1111,0.1567,2038
1,0.2747,-0.5356,-0.1399,0.1297,-0.184,0.1896,2037
1,0.2739,-0.6042,-0.1301,0.0987,-0.2888,0.2049,2035
1,0.2756,-0.6758,-0.1074,0.0803,-0.3779,0.2233,2039
1,0.291,-0.7688,-0.0933,0.0617,-0.5105,0.2465,2035
1,0.302,-0.8665,-0.0796,0.0545,-0.6773,0.2662,2031
1,0.3335,-0.9453,-0.04,0.0221,-0.8717,0.3208,2033
1,0.3403,-1.0164,-0.0044,-0.0228,-1.1039,0.4003,2035
