Timestamp,Ax,Ay,Az,Rx,Ry,Rz,EMG
0,-0.2163,-1.0144,-0.4077,0.1055,0.1747,-0.2216,2050
0,-0.1521,-1.0195,-0.4675,0.1053,0.0589,-0.2089,2042
0,-0.0271,-0.9866,-0.4807,0.1507,-0.0863,-0.1565,2054
0,0.0764,-0.9995,-0.4937,0.1281,-0.1804,-0.1045,2045
0,-0.0073,-0.9792,-0.5217,0.1457,-0.1511,-0.0162,2031
0,-0.2471,-0.9617,-0.3706,0.136,-0.1421,0.0237,2043
0,-0.4412,-0.9409,-0.1809,0.1466,-0.116,-0.0141,2058
0,-0.4912,-0.9719,-0.1155,0.0834,-0.1555,-0.1037,2075
0,-0.4714,-0.9773,-0.1135,0.0806,-0.1618,-0.1977,2049
0,-0.4133,-0.9722,-0.1794,0.0748,-0.1269,-0.2746,2045
0,-0.2737,-0.9607,-0.3159,0.1246,-0.0902,-0.3057,2177
0,-0.1025,-0.9717,-0.3801,0.1137,0.0626,-0.2706,2042
0,-0.0898,-0.9783,-0.3799,0.108,0.1151,-0.2233,2050
0,-0.0581,-0.9768,-0.4197,0.1665,0.1045,-0.1639,2033
0,-0.0823,-0.9719,-0.374,0.1623,0.0465,-0.1248,2035
0,-0.1194,-0.9717,-0.3623,0.1289,0.0906,-0.0791,2032
0,-0.1736,-0.9897,-0.2825,0.157,0.0948,-0.0551,2050
0,-0.2109,-0.9944,-0.2341,0.161,0.0196,-0.0501,2031
0,-0.1628,-0.9976,-0.2505,0.1621,-0.01,-0.0345,2024
0,-0.1003,-1.0132,-0.2839,0.1635,0.0499,0.0013,2016
0,-0.1191,-0.9995,-0.2852,0.1643,0.0581,0.0457,2050
0,-0.1692,-0.9885,-0.2974,0.179,0.0603,0.0747,2016
0,-0.1846,-0.9829,-0.2837,0.1626,0.006,0.0755,2066
0,-0.2434,-0.9707,-0.2891,0.1571,-0.0369,0.0859,2056
0,-0.2949,-0.9758,-0.2671,0.1792,-0.0858,0.0589,2027
0,-0.26,-0.9548,-0.2783,0.196,-0.1081,0.0471,2029
0,-0.2214,-0.9883,-0.2346,0.184,-0.1681,0.0353,2043
0,-0.1484,-1.0002,-0.2551,0.1772,-0.1527,0.0527,2043
0,-0.1689,-0.9976,-0.2195,0.1619,-0.1113,0.0788,2045
0,-0.2332,-1.0085,-0.2078,0.1697,-0.0868,0.0895,2030
0,-0.2168,-1.0071,-0.2241,0.2013,-0.1148,0.0851,2073
0,-0.2478,-0.9695,-0.252,0.1842,-0.1169,0.0822,2059
0,-0.2717,-0.98,-0.2859,0.2144,-0.157,0.0623,2038
0,-0.2117,-0.9829,-0.2976,0.2039,-0.1908,0.0523,2032
0,-0.187,-0.9644,-0.3311,0.2175,-0.1808,0.0662,2047
0,-0.165,-0.9812,-0.2942,0.2248,-0.1602,0.072,2039
0,-0.2312,-0.9814,-0.251,0.2245,-0.1204,0.084,2043
0,-0.3279,-0.9712,-0.2134,0.2388,-0.1036,0.0579,2040
0,-0.373,-0.9351,-0.2175,0.2424,-0.1193,0.0154,2047
0,-0.3899,-0.9536,-0.2341,0.2519,-0.153,-0.0392,2045
0,-0.3831,-0.9397,-0.2434,0.2754,-0.2007,-0.0956,2057
0,-0.2952,-0.9548,-0.2493,0.2836,-0.2314,-0.1429,2036
0,-0.2405,-0.9771,-0.2646,0.2808,-0.2069,-0.1514,2108
0,-0.196,-0.9915,-0.2559,0.291,-0.2147,-0.1518,2048
0,-0.199,-0.9993,-0.2646,0.3099,-0.191,-0.1384,2054
0,-0.176,-0.9927,-0.25,0.3345,-0.2027,-0.1257,2048
0,-0.1567,-0.9988,-0.2666,0.3454,-0.2176,-0.1136,2039
0,-0.1841,-0.9954,-0.2373,0.344,-0.2505,-0.096,2060
0,-0.2131,-0.9775,-0.2412,0.3466,-0.3282,-0.1004,2043
0,-0.177,-0.9868,-0.2588,0.365,-0.3255,-0.089,2043
0,-0.1484,-0.9956,-0.2615,0.392,-0.3424,-0.068,2053
0,-0.1272,-1.0085,-0.2432,0.3987,-0.3228,-0.0413,2047
0,-0.1514,-0.9922,-0.2261,0.4217,-0.328,-0.0115,2039
0,-0.1873,-0.9919,-0.2434,0.4718,-0.3143,0.0021,2046
0,-0.1956,-0.9695,-0.2417,0.514,-0.3209,0.0146,2054
0,-0.2104,-0.9785,-0.2673,0.5485,-0.3365,0.0174,2048
0,-0.2156,-0.9763,-0.2783,0.6189,-0.3378,0.0189,2047
0,-0.2146,-1.0049,-0.2529,0.6757,-0.3653,0.0234,2047
0,-0.2163,-0.9944,-0.2432,0.7194,-0.4035,0.0185,2050
0,-0.2615,-0.9905,-0.1973,0.7616,-0.4501,0.0197,2043
0,-0.2769,-0.9758,-0.1897,0.789,-0.5225,-0.0124,2052
0,-0.281,-0.9675,-0.1931,0.8214,-0.5304,-0.0501,2038
0,-0.2998,-0.9985,-0.156,0.8457,-0.5502,-0.0772,2044
0,-0.2649,-0.9924,-0.1487,0.8704,-0.6088,-0.1109,2044
0,-0.2771,-0.959,-0.1514,0.9162,-0.592,-0.1198,2046
0,-0.2512,-0.9897,-0.1213,0.9216,-0.6046,-0.126,2032
0,-0.2424,-0.9973,-0.0901,0.95,-0.5956,-0.1305,2047
0,-0.189,-1.0576,-0.0154,0.9383,-0.6987,-0.1681,2037
0,-0.0049,-1.1108,-0.0002,0.8693,-1.0552,-0.2169,2025
0,-0.0613,-1.3059,0.0088,0.605,-1.5234,-0.4585,2041
0,0.0032,-1.1162,-0.042,0.5638,-1.9576,-0.609,2058
0,-0.0815,-1.2205,-0.0981,0.2257,-2.316,-0.2854,2044
0,-0.1033,-1.0806,-0.2166,0.1398,-2.5402,-0.326,2054
0,-0.127,-1.0625,-0.2905,-0.0555,-2.936,-0.1518,2053
0,-0.0996,-1.0459,-0.2839,-0.0246,-3.208,-0.0138,2047
0,-0.073,-1.0518,-0.2903,-0.0264,-3.5173,0.1131,2088
0,-0.1316,-1.0432,-0.2002,-0.0065,-3.6157,0.2213,2047
0,-0.1562,-1.0022,-0.1265,0.0011,-3.6591,0.365,2047
0,-0.1218,-0.9683,-0.0632,0.0075,-3.7448,0.4504,2047
0,-0.1187,-0.9478,0.0349,0.1708,-3.6609,0.5661,2057
0,-0.2378,-0.9685,0.2402,0.0017,-3.658,0.7264,2052
