Timestamp,Ax,Ay,Az,Rx,Ry,Rz,EMG
0,-0.4167,0.9595,-0.0254,0.0598,0.0177,0.021,2057
0,-0.4136,0.9875,-0.042,0.1296,0.0184,0.0201,2064
0,-0.4062,0.9167,-0.0413,0.1132,0.038,0.0137,2059
0,-0.3577,0.8743,-0.0564,0.0184,0.0575,0.0234,2063
0,-0.3147,0.8936,-0.1433,0.0153,0.0788,0.0133,2060
0,-0.3115,0.9102,-0.1506,0.0438,0.2212,0.0498,2059
0,-0.2996,0.8711,-0.0913,0.0237,0.2412,0.0134,2059
0,-0.3103,0.9026,-0.0618,0.0178,0.2208,0.0162,2062
0,-0.293,0.9143,-0.0229,0.0601,0.1906,-0.0068,2060
0,-0.323,0.9255,0.0146,0.1057,0.1558,-0.0063,2062
0,-0.3542,0.9392,0.0266,0.1498,0.1313,0.0047,2059
0,-0.3955,0.9089,0.04,0.0832,0.1398,0.0366,2061
0,-0.3435,0.8962,-0.0242,0.0549,0.1418,0.0338,2060
0,-0.3167,0.8857,-0.0759,0.004,0.1559,0.026,2058
0,-0.3005,0.9121,-0.124,-0.043,0.1602,0.0188,2060
0,-0.313,0.9292,-0.1226,-0.0774,0.1659,0.0123,2062
0,-0.3252,0.9429,-0.0842,-0.0844,0.2165,0.0266,2060
0,-0.3452,0.9463,-0.0149,-0.087,0.2288,0.0249,2061
0,-0.3423,0.9304,-0.0007,-0.0589,0.2165,0.023,2065
0,-0.3386,0.9214,0.0039,-0.0395,0.2119,-0.0067,2060
0,-0.3416,0.9207,-0.0059,-0.0968,0.1922,0.0056,2061
0,-0.2605,0.9019,-0.072,-0.1005,0.1392,0.0083,2071
0,-0.2959,0.9355,-0.0837,-0.1095,0.1732,0.015,2060
0,-0.3257,0.9565,-0.0654,-0.1284,0.1571,0.0205,2062
0,-0.3105,0.9602,-0.0562,-0.1234,0.1257,0.0088,2061
0,-0.3074,0.9424,-0.0393,-0.1182,0.1024,0.032,2064
0,-0.3176,0.9355,-0.0505,-0.0941,0.1097,0.0431,2060
0,-0.3171,0.9333,-0.0703,-0.085,0.1477,0.0305,2060
0,-0.2993,0.9275,-0.0764,-0.1128,0.1569,0.0585,2059
0,-0.2878,0.9377,-0.0894,-0.1135,0.1523,0.0699,2060
0,-0.2756,0.9402,-0.071,-0.0872,0.1698,0.072,2062
0,-0.2827,0.9365,-0.0371,-0.0678,0.1798,0.0662,2060
0,-0.2935,0.9331,-0.0256,-0.0392,0.1573,0.0587,2061
0,-0.3064,0.9045,-0.0454,-0.0286,0.1498,0.0537,2062
0,-0.3125,0.8838,-0.0662,-0.0489,0.1554,0.0618,2062
0,-0.3064,0.895,-0.1018,-0.0485,0.1722,0.0662,2059
0,-0.3076,0.915,-0.1089,-0.0466,0.1803,0.0724,2064
0,-0.3176,0.9355,-0.0996,-0.0481,0.1577,0.0803,2063
0,-0.3252,0.9392,-0.0615,-0.0534,0.1349,0.0637,2059
0,-0.3303,0.9233,-0.0645,-0.0663,0.0854,0.0437,2061
0,-0.3511,0.9006,-0.0632,-0.0313,0.0617,0.0322,2061
0,-0.3752,0.8962,-0.0833,-0.03,0.1221,0.0224,2062
0,-0.3481,0.8528,0.0017,-0.1061,0.1368,0.033,2059
0,-0.2605,0.8953,-0.1323,-0.1125,0.0937,0.0413,2062
0,-0.3101,0.9121,-0.1055,-0.1229,0.1024,0.0324,2063
0,-0.3403,0.9329,-0.0999,-0.0972,0.1719,-0.0013,2060
0,-0.3123,0.9126,-0.0845,-0.072,0.1606,-0.0115,2061
0,-0.3401,0.8882,-0.0649,-0.0641,0.135,-0.0278,2063
0,-0.3677,0.8882,-0.074,-0.0722,0.127,-0.0296,2060
0,-0.3174,0.9304,-0.1057,-0.0522,0.1563,-0.0308,2060
0,-0.3281,0.8818,-0.1267,-0.0406,0.1361,-0.0324,2060
0,-0.2974,0.8999,-0.115,-0.0486,0.1025,-0.0411,2061
0,-0.2908,0.8955,-0.1423,-0.0475,0.0791,-0.0451,2061
0,-0.2959,0.9119,-0.1418,-0.0376,0.079,-0.041,2060
0,-0.2991,0.9238,-0.103,-0.0306,0.0447,-0.0417,2060
0,-0.3379,0.9346,-0.0942,-0.0374,0.0581,-0.0393,2059
0,-0.3193,0.9189,-0.0857,-0.0354,0.0328,-0.0252,2060
0,-0.3096,0.9077,-0.0964,-0.0308,0.0346,-0.0154,2062
0,-0.3013,0.9153,-0.1016,-0.0181,0.0376,-0.0189,2061
