Timestamp,Ax,Ay,Az,Rx,Ry,Rz,EMG
0,0.1184,-1.0288,0.3472,1.2524,0.0811,0.3076,2007
0,0.1431,-0.8201,0.4551,1.2493,0.1214,0.2807,2038
0,0.0996,-0.9873,0.5664,1.111,0.2068,0.2282,2079
0,0.0122,-0.9395,0.4836,0.9601,0.3781,0.2473,2098
0,-0.0171,-0.9541,0.4441,0.7201,0.5244,0.1995,2055
0,-0.0085,-0.9392,0.4841,0.607,0.5602,0.183,2067
0,0.0312,-0.8757,0.5281,0.5414,0.497,0.1218,2028
0,0.0215,-0.8821,0.5537,0.4093,0.3241,0.0716,2048
0,-0.0291,-0.9668,0.6565,0.2988,0.2456,0.0579,1994
0,-0.1028,-0.9624,0.6082,0.177,0.1594,0.025,2038
0,-0.123,-0.9995,0.6018,0.055,0.0338,0.0132,2065
0,-0.0771,-0.9741,0.5493,-0.0562,0.0099,-0.0093,2087
0,0.0217,-0.9387,0.5005,-0.1198,-0.036,-0.033,2102
0,0.126,-0.9607,0.4253,-0.1736,-0.0981,-0.0333,2056
0,0.1768,-0.9583,0.3606,-0.2215,-0.1609,-0.038,2071
0,0.2097,-0.9277,0.2698,-0.2333,-0.1999,-0.0325,2087
0,0.2085,-0.9397,0.2131,-0.2124,-0.1542,-0.0121,2059
0,0.2163,-0.9443,0.25,-0.2349,-0.051,0.018,2059
0,0.1855,-0.9424,0.2795,-0.1571,-0.0276,0.0326,2059
0,0.1411,-1.0039,0.314,-0.1525,-0.0092,0.051,2074
0,0.0481,-0.9741,0.269,-0.1621,0.0121,0.0609,2081
0,-0.0198,-0.9678,0.2329,-0.1084,0.0559,0.0437,2068
0,-0.0999,-0.9534,0.2563,-0.0834,0.0823,0.0513,2069
0,-0.1169,-0.968,0.2808,-0.1409,0.18,0.0458,2039
0,-0.1155,-0.9187,0.3765,-0.0577,0.096,-0.0103,2053
0,-0.0059,-0.9802,0.3887,-0.0985,0.0629,-0.0049,2092
0,0.0361,-0.9727,0.3149,-0.1531,0.1806,-0.0128,2116
0,0.1211,-0.9578,0.2754,-0.1388,0.1906,-0.024,2094
0,0.1699,-0.9443,0.3696,-0.1554,0.1171,-0.0246,2144
0,0.1458,-0.9663,0.3918,-0.2308,-0.0174,-0.0228,2066
0,0.0366,-0.9514,0.4329,-0.1746,-0.1826,-0.0376,2087
0,0.0244,-0.978,0.3113,-0.2694,-0.1561,-0.034,2089
0,-0.0034,-0.9216,0.2136,-0.2629,-0.0932,-0.0518,2066
0,0.0408,-0.928,0.2192,-0.2223,-0.0643,-0.0479,2078
0,0.0593,-0.9365,0.2251,-0.2203,-0.0483,-0.0406,2060
0,0.0439,-0.9253,0.1899,-0.1633,-0.0445,-0.0294,2128
0,0.071,-0.9631,0.2183,-0.1071,-0.0103,-0.0252,2078
0,0.0706,-0.9502,0.2825,-0.1188,0.008,-0.018,2071
0,0.0955,-0.9155,0.1885,-0.096,0.0445,-0.0112,2130
0,0.1375,-0.9177,0.126,-0.071,0.1052,-0.0148,2148
0,0.1213,-0.9214,0.155,-0.0366,0.0574,0.0076,2084
0,0.072,-0.9512,0.2544,0.0518,0.0009,0.018,2063
0,0.0471,-0.9724,0.2529,0.0392,0.0069,0.012,2084
0,0.0557,-0.9446,0.2,0.0631,0.0672,0.0059,2096
0,0.0784,-0.9404,0.1941,0.1115,0.0997,0.0177,2069
0,0.0696,-0.9326,0.1868,0.1515,0.121,0.0172,2068
0,0.0847,-0.9536,0.1816,0.1802,0.1631,0.0178,2071
0,0.0903,-0.9438,0.2534,0.1779,0.2505,0.0366,2047
