Timestamp,Ax,Ay,Az,Rx,Ry,Rz,EMG
0,-1.2505,-0.6296,-0.4785,0.38,1.9646,0.8609,2076
0,-0.9753,-0.7144,-0.4863,0.3228,1.9369,0.7512,2057
0,-0.843,-0.8445,-0.5408,0.3553,1.6811,0.8337,2037
0,-0.7393,-0.7358,-0.5063,0.3401,1.64,0.7917,2023
0,-0.4985,-0.8357,-0.5583,0.4354,1.7635,0.8665,2040
0,-0.5283,-0.8616,-0.5674,0.2225,1.4861,0.8614,1996
0,-0.4368,-0.6448,-0.6165,0.3787,1.2449,0.9175,2021
0,-0.5361,-0.6265,-0.6794,0.3191,1.0597,0.97,2059
0,-0.4299,-0.5544,-0.7246,0.3394,0.7954,0.9449,2053
0,-0.5178,-0.4658,-0.7505,0.3445,0.4998,0.7648,2026
0,-0.4663,-0.7034,-0.8406,0.4244,0.493,0.6413,2077
0,-0.3103,-0.7881,-0.8584,0.4452,0.4626,0.5064,2019
0,-0.4395,-0.6533,-0.8711,0.5277,0.6448,0.3674,2053
0,-0.5474,-0.6992,-0.7883,0.5119,0.9537,0.3627,2034
0,-0.5686,-0.7024,-0.7576,0.4272,1.1013,0.2875,2027
0,-0.3708,-0.6301,-0.8276,0.3256,1.0227,0.0802,2173
0,-0.3899,-0.6157,-0.9302,0.1963,0.5532,0.1527,1875
0,-0.7607,-0.5608,-0.9402,0.1333,0.4283,0.2852,1950
0,-0.9568,-0.5195,-0.8745,0.1683,0.583,0.2481,2001
0,-0.8601,-0.675,-0.9409,0.149,0.123,0.4288,2029
0,-0.9043,-0.3354,-0.8679,0.1694,0.1595,0.2698,1968
0,-0.8352,-0.4922,-1.0271,0.2313,0.0963,0.1718,2102
0,-0.8542,-0.5383,-0.9412,0.0715,0.1358,0.1663,1901
0,-0.8713,-0.5857,-1.0388,-0.1454,0.2392,0.1958,2033
0,-0.9089,-0.6699,-1.0886,-0.4595,0.2778,0.3529,2020
0,-0.9343,-0.5342,-1.1748,-0.6602,0.3396,0.463,2325
0,-0.6125,-0.5811,-1.1331,-0.6855,0.2047,0.4577,1924
0,-0.2957,-0.7429,-1.0718,-0.6874,-0.2601,0.3161,1980
0,-0.5144,-0.7305,-1.0081,-0.7131,-0.5335,0.138,1982
0,-0.6089,-0.8774,-0.8496,-0.7301,-0.3755,-0.0124,2040
0,-0.5305,-0.9377,-0.7192,-0.8495,-0.1264,0.0069,2050
0,-0.4946,-0.8774,-0.6816,-1.0544,0.0467,-0.1573,2033
0,-0.6951,-0.5874,-0.561,-1.1021,-0.0883,-0.3534,1941
0,-0.8254,-0.6609,-0.458,-0.9738,-0.2115,-0.2173,2058
0,-0.9387,-0.4373,-0.4822,-0.8048,-0.2012,-0.1396,1973
0,-0.655,-0.5833,-0.4453,-0.5916,-0.6167,-0.1302,2062
0,-0.8826,-0.4563,-0.5234,-0.2458,-0.3502,-0.4309,2110
0,-0.9238,-0.7061,-0.2026,-0.1296,-0.2968,-0.6032,2141
0,-1.0657,-0.7246,-0.3955,-0.0166,0.3089,-0.5413,2064
0,-0.7581,-0.8281,-0.3865,-0.2023,0.3071,-0.3781,2030
0,-1.2949,-0.6597,-0.4485,-0.1595,1.0913,-0.1642,2009
0,-1.092,-0.5745,-0.499,-0.2116,1.1469,-0.0128,2080
0,-1.0273,-0.606,-0.429,-0.1302,1.2645,-0.012,2083
0,-0.6621,-0.7036,-0.4768,-0.1064,0.8098,-0.0212,2101
0,-0.7805,-0.8088,-0.5078,-0.0594,0.3918,-0.0228,1941
0,-0.8147,-0.8298,-0.5671,-0.1586,0.1318,0.0839,1985
0,-1.0051,-0.6731,-0.5806,-0.2007,0.2226,0.1119,1988
