Timestamp,Ax,Ay,Az,Rx,Ry,Rz,EMG
0,0.3308,-0.6482,0.0481,-0.8738,-0.397,-0.3789,2040
0,0.3218,-0.6243,0.0371,-0.9154,-0.3175,-0.3575,2039
0,0.3376,-0.6077,0.0312,-0.9433,-0.2208,-0.3402,2039
0,0.3557,-0.5994,0.0176,-0.9577,-0.1691,-0.3195,2039
0,0.356,-0.6221,0.0076,-0.9709,-0.1001,-0.2884,2042
0,0.3628,-0.6338,0.0105,-0.9774,-0.0221,-0.2549,2039
0,0.3745,-0.6448,0.0186,-0.9817,0.034,-0.2254,2038
0,0.3811,-0.6736,0.0178,-0.9793,0.0795,-0.2012,2043
0,0.3733,-0.7102,0.0295,-0.9749,0.1104,-0.1752,2038
0,0.3687,-0.7295,0.0271,-0.9729,0.1,-0.165,2043
0,0.3721,-0.7476,0.0312,-0.9505,0.0795,-0.1425,2044
0,0.3894,-0.7844,0.0359,-0.9063,0.0586,-0.1221,2046
0,0.3926,-0.8123,0.0234,-0.8726,0.008,-0.1123,2038
0,0.407,-0.8357,0.0364,-0.8468,-0.0559,-0.0936,2044
0,0.4177,-0.8562,0.0508,-0.813,-0.1394,-0.0739,2042
0,0.4241,-0.8999,0.0542,-0.779,-0.2221,-0.037,2042
0,0.4424,-0.9194,0.0732,-0.7697,-0.2984,-0.0048,2041
0,0.4438,-0.9155,0.0869,-0.7589,-0.361,0.045,2041
0,0.4519,-0.8992,0.0945,-0.7469,-0.4192,0.0992,2042
0,0.4583,-0.8943,0.1182,-0.7425,-0.4501,0.1563,2042
0,0.4719,-0.8584,0.1187,-0.7332,-0.4533,0.2181,2037
0,0.4963,-0.7917,0.1287,-0.7241,-0.3987,0.2803,2027
0,0.4624,-0.7925,0.1624,-0.6778,-0.2414,0.3302,2041
0,0.4729,-0.7039,0.105,-0.7584,-0.3598,0.406,2047
0,0.4927,-0.7051,0.1077,-0.6978,-0.2685,0.4408,2046
0,0.4946,-0.7053,0.0808,-0.6572,-0.1535,0.4986,2040
